form_id	submission_id	affiliation	benefit	comfortable	help	negatives	other	position	positives	tasks_ask	tasks_common	tasks_improved
314876	25716990	lcbc	yes	6	0	NA	NA	ra	NA	Not anything yet as I'm still quite new in the office, which is why I'm not \"Very comfortable\" asking for help, yet. will get to know everyone better soon:)	Most likely in connection with TSD	Not sure yet
314876	25711358	lcbc	yes	8	0	The RAs work with data everyday, from samtykker, MRI to MiniCity on a computer, and these tasks are very basic \"computer wise\". I don't think this \"human/computer\" pipeline is optimized and it has roome for improvement. Together with the question above, I think we could make the RA staff for efficient if we figured out things togehter. I know that these questions might be boring and too \"basic\" for you, but it could make the data collection smoother.	The RAs would benefit from your knowledge on both data management and the research we do here at LCBC already from the beginning when they start here as RAs. Just to mention something; we had a lot of trouble with \"session\" vs. \"wave\" last year, and I think that increased knowledge about the research process among the RAs would result in less errors. To know how important it is to write correct things in a MRI-log or cognitive test to not disturb the processing pipeline, would be a thing to prioritize with the RAs and data management.	ra	They have an overview of the data flow that is extremely valuable, and the RAs needs to benefit from this. In addition, they know what would work and what they have tried before, so we can save a lot of time when discussing and solving problems together. The things you do to make it easier for us are always extremely appreciated - from emptying hard drives, setting up MRI-protocols, and simplifying nettskjemas.	Tasks to create a better workflow for the data collection. To access the services we need to do our job, or to improve things we use on a daily basis.	We often need a confirmation from you guys if we did something or make something to use in the data collection, so this could be nettskjemas, TSD-questions, and the general pipeline of data collection.	At the RA office we control the data we collect, and in that pipeline, there's a lot of manual checking and excel-sheets which could be automated. We have a lot of nice services to help us with this, but there are still some \"holes\" in the pipeline which makes it necessary to check things. This relates mainly to the cognitive tests and behavioral data.
314876	25697785	lcbc	unsure	10	2	NA	NA	ra	NA	Programming/R	NA	NA
314876	25694826	lcbc	yes	10	0	no	NA	phd	Behind the scenes stuff like data management (check the data, sort it, put it in a system, make it available)	Creating nettskjema's, finding data in NOAS, exporting data from NOAS, understanding data (Bids etc.), help with technical problems at the scanner..	Technical problems at the scannerCreating nettskjema's	no
314876	25667115	lcbc	yes	10	0	NA	NA	professor	NA	R-code, whole brain analyses, missing data, flaws in data, access trouble	All of the above	Yes, all of the above
314876	25654523	lcbc	yes	10	2	user-friendliness (often offered solutions still require good tech skills and considerable time investment in learning new skills to be able to implement/maintain them)	NA	postdoc	database management	software help (R, python) in tsdreproducible workflows	reproducible workflowsonline (incl. app-based) data collection possibilities	NA
314876	25597940	lcbc	yes	7	1	NA	NA	postdoc	NOAS assistancefMRI/MRI processing/analyses/help	Import of data to NOAS(f)MRI processing and analyses Questionnaire implementation/set upTSD problems	data import and processing	Given that the staff continuously has a great amount of tasks, an overview of priorities of current tasks could be helpful (although understandable if too time consuming)
314876	25591388	lifebrain	yes	8	0	Some times better feed-back	No	professor	Statsitics	IT questions	IT	IT
314876	25591052	lcbc	yes	10	0	NA	Without the team I would have struggled alot with being able to have sufficient progress in my own work	phd	Making data easily accessible and clean.	Data pre-processing, coding, technical issues, analysis	Data pre-processing	NA
314876	25590682	lcbc	yes	10	0	NA	My impression is that the technical staff have lots of work on nearly all of the time. They are effective in their work. If I need help, they are typically more than willing and offer efficient support. They are critical for the day-to-day running of the center, and are constantly improving workflows to make things more efficient.	postdoc	It can't be overstated how critical the work of the technical staff is to LCBC. In particular, database management, preprocessing pipelines and their development, development of useful tools that improve research workflows, both for researchers in-house, and the neuroimaging community across the world (e.g. developing packages like \"ggseg\"). We all benefit immensely from their work.	General trouble shooting. Coding help in R/bash/python. Data locations. Data extraction. Help with high performance computing issues/tsd issues, which are often and many.	Coding help. Data extraction (lifebrain, UK biobank). Reliant on whether MRI preprocessing has been done, both for in-house data and many open data cohorts. Reliant on the database being composed/ well-maintained/updated	NA
314876	25590324	lcbc	yes	10	0	No	Keep up the good work!	professor	Creation of a database solution for the LCBC data has been tremendously importantOrganization and controlling of access to Lifebrain data among partnersPre-processing and quality checking of data, including MRI	Access to dataOrganizing dataPreprocessing and quality checking of dataVisualization of statistical resultsDocumentation and data quality	Access to dataOrganizing dataPreprocessing and quality checking of dataVisualization of statistical results	Even more capacity and efficiency in the above tasksSupport in data sharing regarding levels of restricted access, documentation, etcSupport in creating selected datasets for sharing, as well as documentation of code for sharing in relation to publications
