form_id	submission_id	connection	estimate	field	field_other	interest	plang	plang_other	tools	tools_other	work_institute	work_place	work_place_other
298521	24263845	Not sure I understand the question above. Difficult to know, depend on funding cooperation etc. 100-5000 end users a year, each providing between 1 and 50 datapoints. (I research on digital treatment and prevention interventions that does not just collect data but provide content that adapts to user-input etc.) Wuld like to connect to different forms of ""pasientjournal"" i helsevesenet eller hos frisklivssentraler (f.eks. sende en autogenerert epikrise)	3	medical;social	NA	1	python	NA	other	SERAFIN (open source development since 2013 - Github)	Dep. of psychology	UiO	NA
298521	24262997	NA	100	social	NA	1	eprime;js	NA	gorilla;local;pavlovia	NA	Department of Psychology	UiO	NA
298521	24262992	NA	2000	social	NA	1	js	NA	qualtrics	NA	PSI	UiO	NA
298521	24262536	I rarely collect time series data. My use case is around 15-20 experiments with 300-1200 participants each. It would be great if the service allowed to use different (java script-based) experimental software (e.g., jspsych, labjs, psychojs) so that the researcher can choose the software that best suits their research. Thank you for this initiative! Forgot to mention: In need to connect this service to Prolific Academic.	20	social	NA	1	js	NA	qualtrics	NA	Department of psychology	UiO	NA
298521	24262343	I rarely collect time series data. My use case is around 15-20 experiments with 300-1200 participants each. It would be great if the service allowed to use different (java script-based) experimental software (e.g., jspsych, labjs, psychojs) so that the researcher can choose the software that best suits their research. Thank you for this initiative!	20	social	NA	1	js	NA	qualtrics	NA	Department of psychology	UiO	NA
298521	24261957	NA	200	medical;social	NA	1	js;python	NA	gorilla;local	NA	Psychology	UiO	NA
298521	24261744	NA	300	social	NA	1	eprime	NA	gorilla	NA	Department of Psychology	UiO	NA
298521	24261499	For educational research: students' grades.	150	humanities;medical;social	NA	1	other	So far no need for scripting..	other	Nettskjema!	PSI	UiO	NA
298521	24261372	NA	1500	social	NA	1	eprime;python	NA	local;pavlovia;qualtrics	NA	Department of Psychology	UiO	NA
298521	24261186	NA	40	social	NA	1	other	.	qualtrics	NA	Promenta	UiO	NA
298521	24261132	connected surveys to nettskjema	100	social	NA	1	js;python	NA	other	viedoc checkware	NA	UiO	NA
